Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
C8,,LsiG2,Unknown,,GAPDH,,17,,16.73,,0,10.3126,,0,,
C9,,LsiG2,Unknown,,GAPDH,,17.05,,16.73,,0,10.3126,,0,,
C10,,c2,Unknown,TNF,,19.74,,19.69,,0,,0.044,0,,0.0183,-4.51
C11,,c2,Unknown,TNF,,19.73,,19.69,,0,,0.044,0,,0.0183,-4.51
C12,,c2,Unknown,TNF,,19.6,,19.69,,0,,0.044,0,,0.0183,-4.51
C13,,scr2,Unknown,TNF,,18.37,,18.35,,0,,0.1476,0,,0.0188,-2.76
C14,,scr2,Unknown,TNF,,18.4,,18.35,,0,,0.1476,0,,0.0188,-2.76
C15,,scr2,Unknown,TNF,,18.28,,18.35,,0,,0.1476,0,,0.0188,-2.76
C16,,LsiG2,Unknown,TNF,,13.76,,13.36,,0,,10.3126,0,,4.542,3.37
C17,,LsiG2,Unknown,TNF,,13.3,,13.36,,0,,10.3126,0,,4.542,3.37
C18,,LsiG2,Unknown,TNF,,13.02,,13.36,,0,,10.3126,0,,4.542,3.37
C19,,c2,Unknown,,,,,,,,,,,,,
C20,,c2,Unknown,,,,,,,,,,,,,
C21,,c2,Unknown,,,,,,,,,,,,,
C22,,scr2,Unknown,,,,,,,,,,,,,
C23,,scr2,Unknown,,,,,,,,,,,,,
C24,,scr2,Unknown,,,,,,,,,,,,,
D1,,c2,Unknown,,,,,,,,,,,,,
D2,,c2,Unknown,,,,,,,,,,,,,
D3,,c2,Unknown,,,,,,,,,,,,,
D4,,scr2,Unknown,,,,,,,,,,,,,
D5,,scr2,Unknown,,,,,,,,,,,,,
D6,,scr2,Unknown,,,,,,,,,,,,,
D7,,LsiG2,Unknown,,,,,,,,,,,,,
D8,,LsiG2,Unknown,,,,,,,,,,,,,
D9,,LsiG2,Unknown,,,,,,,,,,,,,
D10,,c2,Unknown,,,,,,,,,,,,,
D11,,c2,Unknown,,,,,,,,,,,,,
D12,,c2,Unknown,,,,,,,,,,,,,
D13,,scr2,Unknown,,,,,,,,,,,,,
D14,,scr2,Unknown,,,,,,,,,,,,,
D15,,scr2,Unknown,,,,,,,,,,,,,
D16,,LsiG2,Unknown,,,,,,,,,,,,,
D17,,LsiG2,Unknown,,,,,,,,,,,,,
D18,,LsiG2,Unknown,,,,,,,,,,,,,
D19,,c2,Unknown,,,,,,,,,,,,,
D20,,c2,Unknown,,,,,,,,,,,,,
D21,,c2,Unknown,,,,,,,,,,,,,
D22,,scr2,Unknown,,,,,,,,,,,,,
D23,,scr2,Unknown,,,,,,,,,,,,,
D24,,scr2,Unknown,,,,,,,,,,,,,
E1,,c3,Unknown,,GAPDH,,15.53,,15.68,,0,0.0547,,0,,
E2,,c3,Unknown,,GAPDH,,16.02,,15.68,,0,0.0547,,0,,
E3,,c3,Unknown,,GAPDH,,15.49,,15.68,,0,0.0547,,0,,
E4,,scr3,Unknown,,GAPDH,,15.71,,15.85,,0,0.1048,,0,,
E5,,scr3,Unknown,,GAPDH,,15.68,,15.85,,0,0.1048,,0,,
E6,,scr3,Unknown,,GAPDH,,16.14,,15.85,,0,0.1048,,0,,
E7,,LsiG3,Unknown,,GAPDH,,18.62,,18.31,,0,13.2601,,0,,
E8,,LsiG3,Unknown,,GAPDH,,18.25,,18.31,,0,13.2601,,0,,
E9,,LsiG3,Unknown,,GAPDH,,18.06,,18.31,,0,13.2601,,0,,
E10,,c3,Unknown,TNF,,19.68,,19.87,,0,,0.0547,0,,0.0148,-4.19
E11,,c3,Unknown,TNF,,20.15,,19.87,,0,,0.0547,0,,0.0148,-4.19
E12,,c3,Unknown,TNF,,19.78,,19.87,,0,,0.0547,0,,0.0148,-4.19
E13,,scr3,Unknown,TNF,,19.17,,19.1,,0,,0.1048,0,,0.0191,-3.25
E14,,scr3,Unknown,TNF,,19.04,,19.1,,0,,0.1048,0,,0.0191,-3.25
E15,,scr3,Unknown,TNF,,19.09,,19.1,,0,,0.1048,0,,0.0191,-3.25
E16,,LsiG3,Unknown,TNF,,14.97,,14.58,,0,,13.2601,0,,4.905,3.73
E17,,LsiG3,Unknown,TNF,,14.69,,14.58,,0,,13.2601,0,,4.905,3.73
E18,,LsiG3,Unknown,TNF,,14.09,,14.58,,0,,13.2601,0,,4.905,3.73
E19,,c3,Unknown,,,,,,,,,,,,,
E20,,c3,Unknown,,,,,,,,,,,,,
E21,,c3,Unknown,,,,,,,,,,,,,
E22,,scr3,Unknown,,,,,,,,,,,,,
E23,,scr3,Unknown,,,,,,,,,,,,,
E24,,scr3,Unknown,,,,,,,,,,,,,
F1,,c3,Unknown,,,,,,,,,,,,,
F2,,c3,Unknown,,,,,,,,,,,,,
F3,,c3,Unknown,,,,,,,,,,,,,
F4,,scr3,Unknown,,,,,,,,,,,,,
F5,,scr3,Unknown,,,,,,,,,,,,,
F6,,scr3,Unknown,,,,,,,,,,,,,
F7,,LsiG3,Unknown,,,,,,,,,,,,,
F8,,LsiG3,Unknown,,,,,,,,,,,,,
F9,,LsiG3,Unknown,,,,,,,,,,,,,
F10,,c3,Unknown,,,,,,,,,,,,,
F11,,c3,Unknown,,,,,,,,,,,,,
F12,,c3,Unknown,,,,,,,,,,,,,
F13,,scr3,Unknown,,,,,,,,,,,,,
F14,,scr3,Unknown,,,,,,,,,,,,,
F15,,scr3,Unknown,,,,,,,,,,,,,
F16,,LsiG3,Unknown,,,,,,,,,,,,,
F17,,LsiG3,Unknown,,,,,,,,,,,,,
F18,,LsiG3,Unknown,,,,,,,,,,,,,
F19,,c3,Unknown,,,,,,,,,,,,,
F20,,c3,Unknown,,,,,,,,,,,,,
F21,,c3,Unknown,,,,,,,,,,,,,
F22,,scr3,Unknown,,,,,,,,,,,,,
F23,,scr3,Unknown,,,,,,,,,,,,,
F24,,scr3,Unknown,,,,,,,,,,,,,
G1,,L1,Unknown,,GAPDH,,15.32,,15.56,,0,7.355,,0,,
G2,,L1,Unknown,,GAPDH,,14.77,,15.56,,0,7.355,,0,,
G3,,L1,Unknown,,GAPDH,,16.6,,15.56,,0,7.355,,0,,
G4,,siG1,Unknown,,GAPDH,,15.25,,15.8,,0,0.1351,,0,,
G5,,siG1,Unknown,,GAPDH,,15.99,,15.8,,0,0.1351,,0,,
G6,,siG1,Unknown,,GAPDH,,16.15,,15.8,,0,0.1351,,0,,
G7,,ctl1,Unknown,,GAPDH,,17.93,,17.27,,0,0.1142,,0,,
G8,,ctl1,Unknown,,GAPDH,,16.98,,17.27,,0,0.1142,,0,,
G9,,ctl1,Unknown,,GAPDH,,16.92,,17.27,,0,0.1142,,0,,
G10,,L1,Unknown,TNF,,12.75,,12.68,,0,,7.355,0,,4.8359,2.88
G11,,L1,Unknown,TNF,,12.78,,12.68,,0,,7.355,0,,4.8359,2.88
G12,,L1,Unknown,TNF,,12.52,,12.68,,0,,7.355,0,,4.8359,2.88
G13,,siG1,Unknown,TNF,,18.97,,18.69,,0,,0.1351,0,,0.0518,-2.89
G14,,siG1,Unknown,TNF,,18.64,,18.69,,0,,0.1351,0,,0.0518,-2.89
G15,,siG1,Unknown,TNF,,18.44,,18.69,,0,,0.1351,0,,0.0518,-2.89
G16,,ctl1,Unknown,TNF,,20.61,,20.4,,0,,0.1142,0,,0.0481,-3.13
G17,,ctl1,Unknown,TNF,,20.43,,20.4,,0,,0.1142,0,,0.0481,-3.13
G18,,ctl1,Unknown,TNF,,20.17,,20.4,,0,,0.1142,0,,0.0481,-3.13
G19,,L1,Unknown,,,,,,,,,,,,,
G20,,L1,Unknown,,,,,,,,,,,,,
G21,,L1,Unknown,,,,,,,,,,,,,
G22,,siG1,Unknown,,,,,,,,,,,,,
G23,,siG1,Unknown,,,,,,,,,,,,,
G24,,siG1,Unknown,,,,,,,,,,,,,
H1,,L1,Unknown,,,,,,,,,,,,,
H2,,L1,Unknown,,,,,,,,,,,,,
H3,,L1,Unknown,,,,,,,,,,,,,
H4,,siG1,Unknown,,,,,,,,,,,,,
H5,,siG1,Unknown,,,,,,,,,,,,,
H6,,siG1,Unknown,,,,,,,,,,,,,
H7,,ctl1,Unknown,,,,,,,,,,,,,
H8,,ctl1,Unknown,,,,,,,,,,,,,
H9,,ctl1,Unknown,,,,,,,,,,,,,
H10,,L1,Unknown,,,,,,,,,,,,,
H11,,L1,Unknown,,,,,,,,,,,,,
H12,,L1,Unknown,,,,,,,,,,,,,
H13,,siG1,Unknown,,,,,,,,,,,,,
H14,,siG1,Unknown,,,,,,,,,,,,,
H15,,siG1,Unknown,,,,,,,,,,,,,
H16,,ctl1,Unknown,,,,,,,,,,,,,
H17,,ctl1,Unknown,,,,,,,,,,,,,
H18,,ctl1,Unknown,,,,,,,,,,,,,
H19,,L1,Unknown,,,,,,,,,,,,,
H20,,L1,Unknown,,,,,,,,,,,,,
H21,,L1,Unknown,,,,,,,,,,,,,
H22,,siG1,Unknown,,,,,,,,,,,,,
H23,,siG1,Unknown,,,,,,,,,,,,,
H24,,siG1,Unknown,,,,,,,,,,,,,
I1,,L2,Unknown,,GAPDH,,16.1,,16.33,,0,15.5724,,0,,
I2,,L2,Unknown,,GAPDH,,16.24,,16.33,,0,15.5724,,0,,
I3,,L2,Unknown,,GAPDH,,16.64,,16.33,,0,15.5724,,0,,
I4,,siG2,Unknown,,GAPDH,,15.99,,16.38,,0,0.1564,,0,,
I5,,siG2,Unknown,,GAPDH,,16.55,,16.38,,0,0.1564,,0,,
I6,,siG2,Unknown,,GAPDH,,16.59,,16.38,,0,0.1564,,0,,
I7,,ctl2,Unknown,,GAPDH,,17.94,,17.02,,0,0.1022,,0,,
I8,,ctl2,Unknown,,GAPDH,,16.43,,17.02,,0,0.1022,,0,,
I9,,ctl2,Unknown,,GAPDH,,16.69,,17.02,,0,0.1022,,0,,
I10,,L2,Unknown,TNF,,12.42,,12.37,,0,,15.5724,0,,3.1212,3.96
I11,,L2,Unknown,TNF,,12.38,,12.37,,0,,15.5724,0,,3.1212,3.96
I12,,L2,Unknown,TNF,,12.29,,12.37,,0,,15.5724,0,,3.1212,3.96
I13,,siG2,Unknown,TNF,,18.96,,19.06,,0,,0.1564,0,,0.04,-2.68
I14,,siG2,Unknown,TNF,,19.24,,19.06,,0,,0.1564,0,,0.04,-2.68
I15,,siG2,Unknown,TNF,,18.97,,19.06,,0,,0.1564,0,,0.04,-2.68
I16,,ctl2,Unknown,TNF,,20.51,,20.31,,0,,0.1022,0,,0.0636,-3.29
I17,,ctl2,Unknown,TNF,,20.55,,20.31,,0,,0.1022,0,,0.0636,-3.29
I18,,ctl2,Unknown,TNF,,19.86,,20.31,,0,,0.1022,0,,0.0636,-3.29
I19,,L2,Unknown,,,,,,,,,,,,,
I20,,L2,Unknown,,,,,,,,,,,,,
I21,,L2,Unknown,,,,,,,,,,,,,
