Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
G1,,L1,Unknown,,GAPDH,,15.32,,15.56,,0,0.0015,,0,,
G2,,L1,Unknown,,GAPDH,,14.77,,15.56,,0,0.0015,,0,,
G3,,L1,Unknown,,GAPDH,,16.6,,15.56,,0,0.0015,,0,,
G4,,siG1,Unknown,,GAPDH,,15.25,,15.8,,0,0.0002,,0,,
G5,,siG1,Unknown,,GAPDH,,15.99,,15.8,,0,0.0002,,0,,
G6,,siG1,Unknown,,GAPDH,,16.15,,15.8,,0,0.0002,,0,,
G7,,ctl1,Unknown,,GAPDH,,17.93,,17.27,,0,0,,0,,
G8,,ctl1,Unknown,,GAPDH,,16.98,,17.27,,0,0,,0,,
G9,,ctl1,Unknown,,GAPDH,,16.92,,17.27,,0,0,,0,,
G10,,L1,Unknown,,,,,,,,,,,,,
G11,,L1,Unknown,,,,,,,,,,,,,
G12,,L1,Unknown,,,,,,,,,,,,,
G13,,siG1,Unknown,,,,,,,,,,,,,
G14,,siG1,Unknown,,,,,,,,,,,,,
G15,,siG1,Unknown,,,,,,,,,,,,,
G16,,ctl1,Unknown,,,,,,,,,,,,,
G17,,ctl1,Unknown,,,,,,,,,,,,,
G18,,ctl1,Unknown,,,,,,,,,,,,,
G19,,L1,Unknown,,,,,,,,,,,,,
G20,,L1,Unknown,,,,,,,,,,,,,
G21,,L1,Unknown,,,,,,,,,,,,,
G22,,siG1,Unknown,,,,,,,,,,,,,
G23,,siG1,Unknown,,,,,,,,,,,,,
G24,,siG1,Unknown,,,,,,,,,,,,,
H1,,L1,Unknown,,,,,,,,,,,,,
H2,,L1,Unknown,,,,,,,,,,,,,
H3,,L1,Unknown,,,,,,,,,,,,,
H4,,siG1,Unknown,,,,,,,,,,,,,
H5,,siG1,Unknown,,,,,,,,,,,,,
H6,,siG1,Unknown,,,,,,,,,,,,,
H7,,ctl1,Unknown,,,,,,,,,,,,,
H8,,ctl1,Unknown,,,,,,,,,,,,,
H9,,ctl1,Unknown,,,,,,,,,,,,,
H10,,L1,Unknown,IL-10,,25.08,,24.97,,0,,0.0015,0,,0.001,-9.41
H11,,L1,Unknown,IL-10,,25.06,,24.97,,0,,0.0015,0,,0.001,-9.41
H12,,L1,Unknown,IL-10,,24.77,,24.97,,0,,0.0015,0,,0.001,-9.41
H13,,siG1,Unknown,IL-10,,28.36,,27.97,,0,,0.0002,0,,0.0001,-12.18
H14,,siG1,Unknown,IL-10,,27.83,,27.97,,0,,0.0002,0,,0.0001,-12.18
H15,,siG1,Unknown,IL-10,,27.72,,27.97,,0,,0.0002,0,,0.0001,-12.18
H16,,ctl1,Unknown,IL-10,,33.83,,33.24,,0,,0,0,,0,-15.96
H17,,ctl1,Unknown,IL-10,,33.37,,33.24,,0,,0,0,,0,-15.96
H18,,ctl1,Unknown,IL-10,,32.5,,33.24,,0,,0,0,,0,-15.96
H19,,L1,Unknown,,,,,,,,,,,,,
H20,,L1,Unknown,,,,,,,,,,,,,
H21,,L1,Unknown,,,,,,,,,,,,,
H22,,siG1,Unknown,,,,,,,,,,,,,
H23,,siG1,Unknown,,,,,,,,,,,,,
H24,,siG1,Unknown,,,,,,,,,,,,,
I1,,L2,Unknown,,GAPDH,,16.1,,16.33,,0,0.0028,,0,,
I2,,L2,Unknown,,GAPDH,,16.24,,16.33,,0,0.0028,,0,,
I3,,L2,Unknown,,GAPDH,,16.64,,16.33,,0,0.0028,,0,,
I4,,siG2,Unknown,,GAPDH,,15.99,,16.38,,0,0.0003,,0,,
I5,,siG2,Unknown,,GAPDH,,16.55,,16.38,,0,0.0003,,0,,
I6,,siG2,Unknown,,GAPDH,,16.59,,16.38,,0,0.0003,,0,,
I7,,ctl2,Unknown,,GAPDH,,17.94,,17.02,,0,0,,0,,
I8,,ctl2,Unknown,,GAPDH,,16.43,,17.02,,0,0,,0,,
I9,,ctl2,Unknown,,GAPDH,,16.69,,17.02,,0,0,,0,,
I10,,L2,Unknown,,,,,,,,,,,,,
I11,,L2,Unknown,,,,,,,,,,,,,
I12,,L2,Unknown,,,,,,,,,,,,,
I13,,siG2,Unknown,,,,,,,,,,,,,
I14,,siG2,Unknown,,,,,,,,,,,,,
I15,,siG2,Unknown,,,,,,,,,,,,,
I16,,ctl2,Unknown,,,,,,,,,,,,,
I17,,ctl2,Unknown,,,,,,,,,,,,,
I18,,ctl2,Unknown,,,,,,,,,,,,,
I19,,L2,Unknown,,,,,,,,,,,,,
I20,,L2,Unknown,,,,,,,,,,,,,
I21,,L2,Unknown,,,,,,,,,,,,,
I22,,siG2,Unknown,,,,,,,,,,,,,
I23,,siG2,Unknown,,,,,,,,,,,,,
I24,,siG2,Unknown,,,,,,,,,,,,,
J1,,L2,Unknown,,,,,,,,,,,,,
J2,,L2,Unknown,,,,,,,,,,,,,
J3,,L2,Unknown,,,,,,,,,,,,,
J4,,siG2,Unknown,,,,,,,,,,,,,
J5,,siG2,Unknown,,,,,,,,,,,,,
J6,,siG2,Unknown,,,,,,,,,,,,,
J7,,ctl2,Unknown,,,,,,,,,,,,,
J8,,ctl2,Unknown,,,,,,,,,,,,,
J9,,ctl2,Unknown,,,,,,,,,,,,,
J10,,L2,Unknown,IL-10,,25.06,,24.83,,0,,0.0028,0,,0.0007,-8.5
J11,,L2,Unknown,IL-10,,24.89,,24.83,,0,,0.0028,0,,0.0007,-8.5
J12,,L2,Unknown,IL-10,,24.54,,24.83,,0,,0.0028,0,,0.0007,-8.5
J13,,siG2,Unknown,IL-10,,28.19,,28.06,,0,,0.0003,0,,0.0001,-11.69
J14,,siG2,Unknown,IL-10,,28.17,,28.06,,0,,0.0003,0,,0.0001,-11.69
J15,,siG2,Unknown,IL-10,,27.83,,28.06,,0,,0.0003,0,,0.0001,-11.69
J16,,ctl2,Unknown,IL-10,,33.02,,33.15,,0,,0,0,,0,-16.13
J17,,ctl2,Unknown,IL-10,,33.14,,33.15,,0,,0,0,,0,-16.13
J18,,ctl2,Unknown,IL-10,,33.28,,33.15,,0,,0,0,,0,-16.13
J19,,L2,Unknown,,,,,,,,,,,,,
